id,code,name,created_at,updated_at,deleted_at
1,1,お茶,,,
2,9,内袋,,,
3,10,その他,,,
4,11,茶道具,,,
5,13,箱,,,
6,14,コーヒー,,,
7,15,仏事,,,
8,16,バッグ,,,
9,17,茶袋,,,
10,18,シール,,,
11,19,茶仕入,,,
12,20,荷造り,,,
13,21,燃料,,,
14,22,広告,,,
15,23,車両,,,
16,24,事務用品,,,
17,25,送料,,,
18,26,貸鉢,,,
19,27,修理,,,
20,28,仕入れ,,,
21,29,切手・印紙,,,
22,40,飲食代,,,
23,50,容器包装費,,,
24,60,総務諸口,,,
25,61,総務その他,,,
