仕入先[   1010]-[ 100000] ＊＊ 仕入先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入先CD,仕入先名ｶﾅ,仕入先名,仕入先(略),郵便番号,住所1,住所2,E-mail,URL,電話番号,FAX番号,担当者CD,担当者名,支払先CD,税区分(買掛),税端数(買掛),仕入区分,税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,支払明細書,支払予定日,支払区分,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数区分,登録日,最終更新日
1035,ニットウサンギ,日東産業㈱,日東産業㈱,421-0204,静岡県志太郡大井川町高新田250,,,,054-662-1111,054-622-1300,1,堀口(崇),1035,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1036,キュウシュウヤ,九州ヤマト運輸㈱,九州ﾔﾏﾄ運輸㈱,899-5652,姶良郡姶良町平松3455,,,,0995-65-9795,,1,堀口(崇),1036,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1037,サガワキュウビ,佐川急便㈱,佐川急便㈱,893-0022,鹿屋市旭原町3642番２号,,,,0994-42-0200,,1,堀口(崇),1037,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,20,印刷する,1ヶ月後15日払,1 現金,1 個別単価,,,1,2000/8/21,2024/11/12
1039,キュウシュウシ,九州紙工㈱,九州紙工㈱,899-5400,姶良郡隼人町真孝212-2,,,,0995-42-2145,,1,堀口(崇),1039,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1040,ギョクロエン,㈱玉露園,㈱玉露園,543-0023,大阪市天王寺区味原町6番９号,,,,06-6761-7331,0120-63-4755,1,堀口(崇),1040,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1043,セイコウエン,㈱静香園,㈱静香園,683-0804,鳥取県米子市米原5-7-5,,,,0859-33-6743,0120-475-088,1,堀口(崇),1043,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1044,フジヤセイカ,冨士屋製菓㈲,冨士屋製菓㈲,899-7305,曽於郡大崎町仮宿1098-2,,,,0994-76-0067,0994-76-2130,1,堀口(崇),1044,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1048,シズオカセイカ,静岡製缶㈲,静岡製缶㈲,422-8027,静岡市豊田2丁目8番8号,,,,054-287-0123,0120-132-455,1,堀口(崇),1048,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1051,ニホンユウビン,日本郵便㈱,日本郵便㈱,890-8799,鹿児島市中央町1-2,,,,099-250-3896,,1,堀口(崇),1051,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1056,ニッシンパッケ,日新パッケ-ジ㈱,日新ﾊﾟｯｹ-ｼﾞ㈱,810-0013,福岡市中央区大宮1丁目2番21号,,,,092-522-1515,092-522-5438,1,堀口(崇),1056,1 締時一括,2 切り捨て,1 買,3 明細単位,2 切り捨て,31,印刷する,1ヶ月後15日払,,1 個別単価,,,2,2001/12/18,2024/11/12
