商品[       150101]-[      6000183] ＊＊ 商品ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/04/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品CD,商品名ｶﾅ,商品名,商品名(略),商品名入力,相手先商品番号,JANｺｰﾄﾞ,大分類,中分類,課税区分,在庫管理,入荷残管理,売上残管理,入数,単位,標準在庫数,標準原価,定価,登録日,最終更新日,経理ｺｰﾄﾞ,科目名,仕入先ｺｰﾄﾞ,仕入先名,備考,仕様,種別コード,種別名,管理部署コード,管理部署名,棚番,品　名,軽減税率区分,平均売値,単重,分類１CD,分類１名,分類２CD,分類２名,分類３CD,分類３名,分類４CD,分類４名
1030282,ＴＥＡＥＴフレーバー,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(大隅ゆず) 2g外装,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝ,入力する,042/506,4933378098422,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,27.37,138,2019/11/25,2024/9/13,     ,,       ,,,TEAET、2g、新パッケージ,1,製品,2,小売支援課,,TEAETフレーバーグリーンティ大隅ゆず,1 軽減税率,,,2,ティーバッグ,21,TBフレーバーグリーンティ,2,M(無薬相当品),,
1030283,ＴＥＡＥＴウーロン,TEAET ｳｰﾛﾝﾌﾞﾗｯｸﾃｨｰ2g外装付き,TEAET ｳｰﾛﾝﾌﾞﾗｯｸﾃ,入力する,94,4933378098408,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,25.51,138,2019/11/25,2024/9/13,     ,,       ,,ソラシドエアで先行販売,TEAET、2g、新パッケージ,1,製品,2,小売支援課,,ウーロンブラックティー,1 軽減税率,,,2,ティーバッグ,23,TBウーロンブラックティ,2,M(無薬相当品),,
1030284,ＴＥＡＥＴウーロン,TEAETｳｰﾛﾝﾌﾞﾗｯｸﾃｨｰ大隅ｼﾞﾝｼﾞｬｰ2g外装付,TEAETｳｰﾛﾝﾌﾞﾗｯｸﾃｨ,入力する,095/507,4933378098415,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,29.47,138,2019/11/25,2024/9/13,     ,,       ,,,TEAET、2g、新パッケージ,1,製品,2,小売支援課,,ウーロンブラックティー大隅ジンジャー,1 軽減税率,,,2,ティーバッグ,24,TBﾌﾚｰﾊﾞｰｳｰﾛﾝﾌﾞﾗｯｸﾃｨ,2,M(無薬相当品),,
1030286,ＴＥＡＥＴリョクチャ,(仮)TEAET緑茶ドリップ3g,(仮)TEAET 緑茶ﾄﾞﾘｯﾌﾟ,入力する,,4933378099528,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,,,2020/2/7,2024/9/13,     ,,       ,,JANコード確認のため仮登録,TEAET、3g、新パッケージ,1,製品,2,小売支援課,,外装付き、緑茶ドリップ,1 軽減税率,,,,,,,,,,
1030287,カゴシマケンシブシサ,鹿児島県志布志産 紅茶TB2g/15個,紅茶TB2g/15個,入力する,103,4933378099986,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,300.2,900,2020/8/11,2025/3/7,     ,,       ,,,2g/15個、(袋:50345),1,製品,2,小売支援課,,紅茶(1番茶リーフ)、ティーバッグ,1 軽減税率,,,2,ティーバッグ,25,TB紅茶,2,M(無薬相当品),,
1030288,カゴシマケンシブシサ,鹿児島県志布志産 ｳｰﾛﾝ紅茶TB2g/15個,鹿児島県志布志産 ｳｰﾛ,入力する,111,4933378099993,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,271.4,900,2020/8/11,2024/9/6,     ,,       ,,,2g/15個、(袋:50351),1,製品,2,小売支援課,,ウーロンブラックティー(1番茶),1 軽減税率,,,2,ティーバッグ,23,TBウーロンブラックティ,2,M(無薬相当品),,
1030290,ＴＥＡＥＴフレーバー,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(ﾛｰｽﾞ)5g/2個入,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(ﾛ,入力する,003/512,4933378100347,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,147.98,1000,2020/12/23,2024/9/13,     ,,       ,,,5g/2個入,7,セット商品,2,小売支援課,,TEAETフレーバーグリーンティ(ローズ),1 軽減税率,,,,,,,,,,
1030291,マッチャスターター,抹茶(スターター) 100g,抹茶(ｽﾀｰﾀｰ) 100g,入力する,61,4933378100521,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,167.49,1000,2021/3/7,2024/11/6,     ,,       ,,,100g、(袋:50351),1,製品,2,小売支援課,,原料 抹茶(スターター)-M,1 軽減税率,,,4,粉末,27,抹茶,2,M(無薬相当品),,
1030292,ＴＥＡＥＴウーロン,TEAETｳｰﾛﾝﾌﾞﾗｯｸ(大隅ｼﾞﾝｼﾞｬｰ)3g/6 台形,TEAETｳｰﾛﾝﾌﾞﾗｯｸ(大隅ｼ,入力する,095/507,4933378100613,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,218.77,1200,2021/3/25,2024/9/13,     ,,       ,,AmazonFBA向けのギフトTP-08用,3g/6個入り、ティーバッグ、台形箱,7,セット商品,2,小売支援課,,TEAETウーロンブラック大隅ジンジャー,1 軽減税率,,,,,,,,,,
1030293,ＴＥＡＥＴフレーバー,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(ﾛｰｽﾞ)2.5g/3個,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(ﾛ,入力する,003/512,4933378100712,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,145.54,900,2021/4/27,2024/9/13,     ,,       ,,ハウステンボス向け,2.5g/3個、(袋:5025),7,セット商品,2,小売支援課,,TEAETフレーバーグリーンティ(ローズ),1 軽減税率,,,,,,,,,,
1030294,ＴＥＡＥＴウーロン,TEAETｳｰﾛﾝﾌﾞﾗｯｸﾃｨｰ3g/4個入り,TEAETｳｰﾛﾝﾌﾞﾗｯｸﾃｨｰ3g/,入力する,94,4933378100927,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,110.18,800,2021/7/19,2024/9/13,     ,,       ,,TEAETギフトセットDB-24用,3g/4個入り、ティーバッグ,7,セット商品,2,小売支援課,,TEAETウーロンブラックティー,1 軽減税率,,,,,,,,,,
1030295,マッチャジョウ,抹茶(上) 300g,抹茶(上) 300g,入力する,56,4933378101146,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,1235.5,3370,2021/10/31,2024/12/13,     ,,       ,,市島羊羹向け,300g、(袋:221),1,製品,2,小売支援課,,原料 抹茶(上)-M,1 軽減税率,,,4,粉末,27,抹茶,2,M(無薬相当品),,
1030296,ＴＥＡＥＴリョクチャ,TEAET緑茶ティーバッグ3g/3個入り,TEAET緑茶ﾃｨｰﾊﾞｯｸﾞ3g/,入力する,41,4933378101160,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,97.25,400,2021/11/15,2024/9/13,     ,,       ,,TEAETギフトセットDB-26用,3g/3個入り,7,セット商品,2,小売支援課,,TEAET緑茶ティーバッグ,1 軽減税率,,,,,,,,,,
1030297,ＴＥＡＥＴフレーバー,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(大隅ゆず)3g/3個入,TEAETﾌﾚｰﾊﾞｰｸﾞﾘｰﾝﾃｨ(,入力する,042/506,4933378101177,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,100.88,600,2021/11/15,2024/9/13,     ,,       ,,TEAETギフトセットDB-26用,3g/3個入り、ティーバッグ,7,セット商品,2,小売支援課,,TEAETフレーバーグリーンティ大隅ゆず,1 軽減税率,,,,,,,,,,
1030298,ＴＥＡＥＴコウチャ,TEAET紅茶ティーバッグ3g/4個(台形箱),TEAET紅茶ﾃｨｰﾊﾞｯｸﾞ3g/,入力する,93,4933378101665,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,148.17,,2022/5/29,2024/9/13,     ,,       ,,2022年初盆和-6-22用,3g/4個、台形箱,7,セット商品,2,小売支援課,,TEAET紅茶ティーバッグ,1 軽減税率,,,,,,,,,,
1030299,ウーロンコウチャ,ウーロン紅茶111_1kg_袋1093,,入力する,111,,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,4052,8300,2023/4/12,2024/12/7,     ,,       ,,,1kg、(袋:1093),1,製品,2,小売支援課,,ウーロンブラックティー(1番茶)-M,1 軽減税率,,,1,リーフ,16,ウーロンブラックティ,2,M(無薬相当品),,
1030300,マッチャオウノカオリ,抹茶 凰の香り 100g,抹茶 凰の香り 100g,入力する,56,4933378103027,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,436.5,5000,2023/6/2,2024/11/6,     ,,       ,,,100g、(袋:50351),1,製品,2,小売支援課,,原料 抹茶(上)-M,1 軽減税率,,,4,粉末,27,抹茶,2,M(無薬相当品),,
1030301,リョウチャデンセツカ,緑茶伝説(風)004_1kg_袋1093,緑茶伝説(風) 1kg_109,入力する,4,4933378103140,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,2611,7600,2023/6/28,2024/12/7,     ,,       ,,VERTTEA向け,1kg、(袋1093),1,製品,2,小売支援課,,緑茶伝説(風),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1030302,マッチャオウノカオリ,抹茶 凰の香り 30g,抹茶 凰の香り 30g,入力する,056(袋50349),4933378103522,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,161,,2024/1/22,2024/11/6,     ,,       ,,,30g、袋50349,1,製品,2,小売支援課,,原料 抹茶(上)-M,1 軽減税率,,,4,粉末,27,抹茶,2,M(無薬相当品),,
1040105,バンチャ,番茶 500g,番茶 500/500g,入力する,23,4933378090372,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,270.9,950,2000/5/28,2025/3/26,     ,,       ,,,500g,1,製品,2,小売支援課,1-E3-3,番茶,1 軽減税率,,,1,リーフ,4,番茶,5,慣行品(上記以外),,
1040106,センチャホシ,煎茶(星) 500g,煎茶(星)/500g,入力する,16,4933378090358,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,468.4,1650,2000/5/28,2024/9/6,     ,,       ,,,500g,1,製品,2,小売支援課,1-E2-3,煎茶(星),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1040113,センチャツキ,煎茶(月) 100g,煎茶(月)/100g,入力する,14,4933378090136,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,155.2,550,2000/5/28,2024/9/6,     ,,       ,,,100g,1,製品,2,小売支援課,1-E3-1,煎茶(月),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1040117,ツメホウダイヨウヨウ,煎茶(陽) 3kg(詰め放題用),(陽)/3kg(詰め放題用),入力する,12,4933378093366,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,5159.43,15000,2014/9/25,2024/9/6,     ,,       ,,,3kg,1,製品,2,小売支援課,注文時のみ,詰め放題用(陽),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1040120,センチャヨウ,煎茶(陽)60g,煎茶(陽)60g,入力する,12,4933378095865,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,134.85,450,2016/12/13,2024/9/6,     ,,       ,,ふるさと納税向け,60g(ふるさと納税様),1,製品,2,小売支援課,,煎茶(陽),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1040124,イッセンパックシラオ,一煎パック　白折 4g,一煎ﾊﾟｯｸ 白折/4g,入力する,25,4933378098002,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,12.24,20,2018/7/11,2024/11/13,     ,,       ,,,4g、(袋:10070),2,半製品,2,小売支援課,,白折、一煎パック,1 軽減税率,,,1,リーフ,5,茎茶,2,M(無薬相当品),,
1040126,トクチュウマッチャイ,特注 抹茶入り茎茶 100g,特注 抹茶入り茎茶 10,入力する,087/056,4933378099900,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,260.9,1000,2020/5/23,2024/9/6,     ,,       ,,西志布志店の特注(1回のみの予定),100g、(袋:YF5),1,製品,2,小売支援課,,くき抹茶(新茶白折(600)),1 軽減税率,,,1,リーフ,12,茎茶-抹茶,2,M(無薬相当品),,
1040206,コナチャ,粉茶　100g,粉茶 300/100g,入力する,39,4933378090181,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,94.41,350,2000/8/19,2024/11/13,     ,,       ,,,100g,1,製品,2,小売支援課,1-E5-1,粉茶,1 軽減税率,,,4,粉末,28,煎茶粉末,5,慣行品(上記以外),,
1040212,センチャヨウ,煎茶(陽) 80g,煎茶(陽) 80g,入力する,12,4933378102808,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,169.5,600,2023/4/11,2024/11/13,     ,,       ,,,80g,1,製品,2,小売支援課,,煎茶(陽)、袋,1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
1040213,シラオリ,白折  80g,白折  80g,入力する,25,4933378102839,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,171.2,600,2023/4/20,2024/9/6,     ,,       ,,, 80g,1,製品,2,小売支援課,,白折,1 軽減税率,,,1,リーフ,5,茎茶,2,M(無薬相当品),,
1040214,コナチャ,粉茶 250g,粉茶 250g,入力する,039(袋：10826),4933378103201,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,219.51,800,2023/7/14,2024/11/13,     ,,       ,,卸のみ(掛け率なし),250g、(袋:10826),1,製品,2,小売支援課,,TB(緑茶),1 軽減税率,,,4,粉末,28,煎茶粉末,5,慣行品(上記以外),,
1050101,マッチャイリゲンマイ,抹茶入玄米茶 200g,抹茶入玄米茶 200g,入力する,028/526/061/516,4933378090167,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,101.66,400,2000/5/28,2025/3/27,     ,,       ,,,200g,1,製品,2,小売支援課,1-E2-2,抹茶入玄米茶,1 軽減税率,,,1,リーフ,13,玄米茶,5,慣行品(上記以外),,
1050102,ゲンマイチャハナアリ,玄米茶(花あり) 200g　,玄米茶(花あり) 200g,入力する,028/526/516,4933378090143,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,100.94,400,2000/5/28,2025/3/27,     ,,       ,,,200g,1,製品,2,小売支援課,1-E2-1,玄米茶(花あり),1 軽減税率,,,1,リーフ,13,玄米茶,5,慣行品(上記以外),,
1050109,ゲンマイチャパウダー,玄米茶パウダー(顆粒) 100g,玄米茶ﾊﾟｳﾀﾞｰ(顆粒)/1,入力する,047/510/502,4933378096794,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,209.5,,2017/7/11,2024/9/6,     ,,       ,,愛生会,100g、(袋:10548),1,製品,2,小売支援課,,玄米茶パウダー(顆粒),1 軽減税率,,,5,その他,43,その他,5,慣行品(上記以外),,
1050110,ゲンマイノミ,※玄米のみ 200g,※玄米のみ 200g,入力する,516/526,4933378101368,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,79.14,300,2020/12/16,2024/9/6,     ,,       ,,茶袋変更分,200g、(袋:10074),1,製品,2,小売支援課,,玄米のみ,1 軽減税率,,,5,その他,41,玄米,5,慣行品(上記以外),,
1060101,ホウジチャティーバッ,ほうじティーバッグ　4g/10個入り,ほうじﾃｨｰﾊﾟｯｸ 4g/10,入力する,38,4933378090266,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,131.62,450,2000/5/28,2024/9/6,     ,,       ,,,4g/10個入り,1,製品,2,小売支援課,1-E1-4,ほうじティーバッグ,1 軽減税率,,,2,ティーバッグ,20,TBほうじ茶,5,慣行品(上記以外),,
1060103,ホウジチャハナ,ほうじ茶(華) 150g,ほうじ茶 600/150g,入力する,30,4933378090204,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,247.15,750,2000/5/28,2024/9/6,     ,,       ,,,150g,1,製品,2,小売支援課,1-E3-1,ほうじ茶(華),1 軽減税率,,,1,リーフ,7,ほうじ茶,5,慣行品(上記以外),,
1060106,ホウジチャハナ,ほうじ茶030_1kg_袋1093,ほうじ茶(華) 1kg,入力する,30,4933378100538,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,1329,4300,2021/3/5,2024/12/7,     ,,       ,,オプカリス株式会社,1kg、(袋:1093),1,製品,2,小売支援課,,ほうじ茶(華),1 軽減税率,,,1,リーフ,7,ほうじ茶,5,慣行品(上記以外),,
1060205,リョクチャティーバッ,緑茶ティーバッグ　4g/30個入り,緑茶ﾃｨｰﾊﾟｯｸ 4g/30,入力する,39,4933378090259,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,221.18,800,2000/5/28,2024/11/13,     ,,       ,,,4g/30個入り,1,製品,2,小売支援課,1-11-3-2,緑茶ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060206,リョクチャティーバッ,緑茶ティーバッグ　4g/100個入り,ﾃｨｰﾊﾟｯｸ 4g/100個入り,入力する,39,4933378093137,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,633,,2000/7/21,2024/11/13,     ,,       ,,,4g/100個入り,1,製品,2,小売支援課,1-11-3-1,緑茶ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060207,リョクチャティーバッ,緑茶ティーバッグ　2g/100個入り,ﾃｨｰﾊﾟｯｸ 2g/100個入り,入力する,39,4933378093144,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,447.92,,2000/8/18,2024/11/13,     ,,       ,,,2g/100個入り,1,製品,2,小売支援課,1-E1-3,緑茶ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060208,リョクチャティーバッ,緑茶ティーバッグ 2g/20個,緑茶ﾃｨｰﾊﾞｯｸﾞ2g/20個,入力する,39,4933378098989,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,151.56,550,2019/5/31,2024/9/6,     ,,       ,,,2g/20個(袋:7195),1,製品,2,小売支援課,,ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060209,ダンラン,暖欒(だんらん) 4g/20個,暖欒(だんらん) 4g/20,入力する,39,4933378100354,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,163.52,550,2020/12/23,2024/9/6,     ,,       ,,,4g/20個、(袋:2698),1,製品,2,小売支援課,,暖欒(だんらん),1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060210,リョクチャティーバッ,緑茶ティーバッグ 2g外装付き バラ,※緑茶ﾃｨｰﾊﾞｯｸﾞ 2g外,入力する,39,4933378101382,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,7.64,100,2022/3/5,2024/11/13,     ,,       ,,,2g外装付きバラ(新パッケージYF46),2,半製品,2,小売支援課,,外装付き緑茶TB,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060211,リョクチャティーバッ,緑茶ティーバッグ外装付き 2g/100個,緑茶ﾃｨｰﾊﾞｯｸﾞ外装付き,入力する,39,4933378101528,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,766.32,,2022/4/26,2024/9/6,     ,,       ,,,2g/100個入り、新パッケージ,7,セット商品,2,小売支援課,,緑茶ティーバッグ,1 軽減税率,,,,,,,,,,
1060301,ミズダシリョクチャ,水出緑茶　3g/8個入り,水出緑茶 3g/8,入力する,40,4933378093151,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,91.22,350,2000/5/28,2024/11/13,     ,,       ,,,3g/8個入り,1,製品,1,卸課,,水出緑茶,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060306,ミズダシセンチャ,水出煎茶　4g/80個入り,水出煎茶 4g/80,入力する,40,4933378090426,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,606.63,,2004/2/26,2024/11/13,     ,,       ,,,4g/80個入り,1,製品,2,小売支援課,1-11-3-1,水出煎茶,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060307,サヤカ,颯(さやか) 4g/15個入り,颯(さやか)4g/15,入力する,40,4933378090952,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,152.34,600,2007/6/20,2024/11/13,     ,,       ,,,4g/15個入り,1,製品,2,小売支援課,1-11-3-1,颯(さやか),1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
1060308,ホウジチャフンマツ,ほうじ茶粉末 30g,ほうじ粉茶 30g,入力する,32,4933378094264,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,90.99,520,2014/12/7,2024/9/6,     ,,       ,,,30g,1,製品,2,小売支援課,注文時のみ,ほうじ茶粉末,1 軽減税率,,,4,粉末,29,ほうじ茶粉末,5,慣行品(上記以外),,
1060310,ミズダシ,水出し 4gバラ,水出し4gﾊﾞﾗ,入力する,,4933378090907,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,6.34,,2015/7/21,2024/11/12,     ,,       ,,小売課　在庫表　初盆対応用,4g,1,製品,2,小売支援課,注文時のみ,水出し(バラ),1 軽減税率,,,,,,,,,,
1060314,ホウジフンマツ,ほうじ粉末 60g(ソフトクリーム用),ほうじ粉末 60g(ｿﾌﾄｸﾘ,入力する,32,,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,128.48,1000,2020/2/11,2024/9/6,     ,,       ,,,60g,1,製品,2,小売支援課,,ほうじ茶粉末,1 軽減税率,,,4,粉末,20,TBほうじ茶,5,慣行品(上記以外),,
1060315,ダンランキワミ,暖欒(極) 4g/10個,暖欒(極) 4g/10個,入力する,178,4933378101917,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,329.29,1500,2022/8/29,2024/9/6,     ,,       ,,グレートテイスト受賞茶,4g/10個、(袋:50351),1,製品,2,小売支援課,,暖欒(極)-M、ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,2,M(無薬相当品),,
1070000,カクホリフツウセンチ,カクホリ 普通煎茶さえみどり 30g,ｶｸﾎﾘ 普通煎茶さえみ,入力する,166,4933378100361,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,249.49,1300,2021/2/3,2024/9/6,     ,,       ,,,30g、(袋:YF39),1,製品,2,小売支援課,,露地普通煎茶,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070001,カクホリフカムシセン,カクホリ 深蒸し煎茶ゆたかみどり 30g,ｶｸﾎﾘ 深蒸し煎茶ゆた,入力する,167,4933378100378,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,248.5,1300,2021/2/3,2024/9/6,     ,,       ,,,30g、(袋:YF40),1,製品,2,小売支援課,,被覆深蒸し煎茶,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070002,カクホリフカムシセン,カクホリ 深蒸し煎茶さえみどり 30g,ｶｸﾎﾘ 深蒸し煎茶さえ,入力する,168,4933378100385,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,248.5,1300,2021/2/3,2024/9/6,     ,,       ,,,30g、(袋:YF41),1,製品,2,小売支援課,,露地深蒸し煎茶,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070003,カクホリカマイリチャ,カクホリ 釜炒り茶おくみどり 30g,ｶｸﾎﾘ 釜炒り茶おくみ,入力する,169,4933378100392,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,234.49,1300,2021/2/3,2024/9/6,     ,,       ,,,30g、(袋:YF42),1,製品,2,小売支援課,,被覆釜炒り煎茶,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070004,カクホリホウジチャ,カクホリ ほうじ茶さわやかな甘さ 20g,ｶｸﾎﾘ ほうじ茶さわや,入力する,170,4933378100408,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,168.5,1300,2021/2/3,2024/9/6,     ,,       ,,,20g、(袋:YF43),1,製品,2,小売支援課,,ほうじ茶,1 軽減税率,,,1,リーフ,7,ほうじ茶,2,M(無薬相当品),1,レインフォレスト
1070005,カクニンヨウ,カクホリ 普通煎茶さえみどり 3g,ｶｸﾎﾘ 普通煎茶さえみ,入力する,,4933378100552,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,,,2021/3/15,2024/9/6,     ,,       ,,,,6,その他,   ,,,確認用,1 軽減税率,,,,,,,,,,
1070006,カクホリ,カクホリ 深蒸し煎茶ゆたかみどり 3g,ｶｸﾎﾘ 深蒸し煎茶ゆた,入力する,167(袋:10070),4933378100569,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,23.9,,2021/3/15,2025/1/30,     ,,       ,,,3g、袋:10070,1,製品,2,小売支援課,,原料 RA ｶｸﾎﾘ 深蒸煎茶 ゆたかみどり-,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070007,カクニンヨウ,カクホリ 深蒸し煎茶さえみどり 3g,ｶｸﾎﾘ 深蒸し煎茶さえ,入力する,,4933378100576,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,,,2021/3/15,2024/9/6,     ,,       ,,,,6,その他,   ,,,確認用,1 軽減税率,,,,,,,,,,
1070008,カクホリカマイリチャ,カクホリ 釜炒り茶おくみどり 3g,ｶｸﾎﾘ 釜炒り茶おくみ,入力する,169,4933378100583,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,41,100,2021/3/15,2024/9/6,     ,,       ,,,3g、(袋：TF-6),1,製品,2,小売支援課,,RA カクホリ 釜炒り煎茶おくみどり-M,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070009,カクニンヨウ,カクホリ ほうじ茶さわやかな甘さ 2g,ｶｸﾎﾘ ほうじ茶さわや,入力する,,4933378100590,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,,,2021/3/15,2024/9/6,     ,,       ,,,,6,その他,   ,,,確認用,1 軽減税率,,,,,,,,,,
1070010,カクホリカマイリチャ,カクホリ 釜炒り茶おくみどり 100g,ｶｸﾎﾘ 釜炒り茶おくみ,入力する,169,4933378101139,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,483,4333,2021/10/30,2024/9/6,     ,,       ,,製茶(寺田製作所)向け,100g、(袋:10327),1,製品,2,小売支援課,,RA カクホリ 釜炒り煎茶おくみどり,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
1070012,カクホリフカムシセン,カクホリ 深蒸し煎茶あさつゆ 30g,ｶｸﾎﾘ 深蒸し煎茶あさ,入力する,186,4933378101184,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,249.49,1300,2022/1/19,2024/9/6,     ,,       ,,,30g、(袋:YF44),1,製品,2,小売支援課,,被覆深蒸し煎茶,1 軽減税率,,,1,リーフ,2,単一品種煎茶,2,M(無薬相当品),1,レインフォレスト
