商品[       150101]-[      6000183] ＊＊ 商品ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/04/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品CD,商品名ｶﾅ,商品名,商品名(略),商品名入力,相手先商品番号,JANｺｰﾄﾞ,大分類,中分類,課税区分,在庫管理,入荷残管理,売上残管理,入数,単位,標準在庫数,標準原価,定価,登録日,最終更新日,経理ｺｰﾄﾞ,科目名,仕入先ｺｰﾄﾞ,仕入先名,備考,仕様,種別コード,種別名,管理部署コード,管理部署名,棚番,品　名,軽減税率区分,平均売値,単重,分類１CD,分類１名,分類２CD,分類２名,分類３CD,分類３名,分類４CD,分類４名
151132,64ﾄﾞｽｰﾌﾟｷﾞﾌﾄ P177035,64℃スープギフト　P177-035,64℃ｽｰﾌﾟｷﾞﾌﾄ P177035,入力する,P177-035 M-S20,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,800,1100,2019/4/13,2024/11/13,4203,その他仕入,1099,㈱テライ,,テライ/4種×4個入　P177-035　M-S20,3,原材料,1,卸課,,64℃スープギフト,1 軽減税率,,,,,,,,,,
151135,ｻﾇｷｳﾄﾞﾝｷﾞﾌﾄｾｯﾄ,讃岐うどんｷﾞﾌﾄｾｯﾄ S194-012 SK-20K,讃岐うどんｷﾞﾌﾄｾｯﾄ,入力する,S194-012 SK-20K,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,750,2000,2020/1/29,2024/11/13,4203,その他仕入,1099,㈱テライ,,テライ/S194-012　SK-20K,3,原材料,1,卸課,,讃岐うどんギフトセット,1 軽減税率,,,,,,,,,,
151136,ﾏﾘｸﾚｰﾙﾃﾞﾝｼﾚﾝｼﾞﾖｳｷ5,マリ・クレール　電子レンジ容器5P,ﾏﾘ･ｸﾚｰﾙ 電子ﾚﾝｼﾞ容器,入力する,382-061L　MC-669,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,880,,2022/8/10,2024/11/13,4203,その他仕入,1099,㈱テライ,包装済,テライ/マリ・クレール　5P　382-061L　MC-669,3,原材料,1,卸課,,電子レンジ容器,0 通常,,,,,,,,,,
151137,ｱｼﾞﾂｹﾉﾘｵﾁｬﾂﾞｹﾂﾒｱﾜｾ,味付海苔＆お茶漬け詰合せ　467-031L,味付海苔&お茶漬け詰,入力する,467-031L　LI-20A,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,780,,2022/8/10,2024/11/13,4203,その他仕入,1099,㈱テライ,包装、ポケットあり,テライ/味付海苔×2、お茶漬け×2　467-031L,3,原材料,1,卸課,,味付海苔＆お茶漬け詰合せ,1 軽減税率,,,,,,,,,,
151197,ｶﾝﾀﾞｶﾞﾜｶﾝｼｭｳｱｼﾞﾜｺﾞｺﾛ,神田川俊郎監修　味和心セット,味和心お味噌汁 お吸,入力する,500030J FKMT-D,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,967,,2020/6/12,2024/11/13,4203,その他仕入,1099,㈱テライ,,テライ/みそ汁×4、吸い物×4、やくみ×8　500030J FKMT-D,3,原材料,1,卸課,,神田川俊郎監修味和心お味噌汁お吸い物,1 軽減税率,,,,,,,,,,
151395,ｽｼﾔﾖｳ200g,すし屋用　200ｇ,すし屋用 200g,入力する,18,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,372.29,460,2008/9/1,2024/11/13,     ,,       ,,,矢越/ 200g(袋:産地元詰め),1,製品,1,卸課,1-10-3-3,煎茶(2),1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
151436,ﾃｨｰﾊﾞｯｸﾞ5g/50ｺｲﾘ,ティーバッグ5g/50個入り K,T.B 5g/50ｺ入り(加賀,入力する,,4933378093267,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,532.45,710,2011/2/19,2023/12/28,     ,,       ,,,5g/50個入り,1,製品,2,小売支援課,1-E1-4,加賀屋ティーバッグ,1 軽減税率,,,2,ティーバッグ,19,TB緑茶,5,慣行品(上記以外),,
151489,AN-T3W,AN-T3W,今治ﾀｵﾙｾｯﾄAN-T3W,入力する,AN-T3W,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,700,1000,2018/5/9,2024/11/13,4203,その他仕入,1113,㈱CSJ,H30.5より入庫,ブシュロン/AN-T3W,3,原材料,1,卸課,,今治タオルセット,0 通常,,,,,,,,,,
151491,T1-50,T1-50,T1-50,入力する,AN-BB2,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,,,2018/10/29,2024/11/13,4203,その他仕入,1113,㈱CSJ,,ブシュロン/T1-50　AN-BB2,3,原材料,1,卸課,,今治バスタオルセット,0 通常,,,,,,,,,,
151493,ｶｵﾘﾀﾞｼｺ 500g,香出粉_500g_袋222,香出粉 500g,入力する,販売用,,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,47.5,186,2018/12/20,2024/8/13,     ,,       ,,(株)みち葬祭他,500g、(袋:222),1,製品,2,小売支援課,,香出粉,0 通常,,,5,その他,,,,,,
151494,ｶｺﾞｼﾏﾁｬｺｳｼｭ(50g)ﾋﾝﾊﾞ,かごしま茶コウシュ(50g)品番6806,かごしま茶ｺｳｼｭ(50g),入力する,資材変更後,4933378098651,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,123.5,230,2018/12/24,2022/2/21,     ,,       ,,資材変更(品番は継続),6806　松和産業用、(内袋:10107),1,製品,1,卸課,,煎茶,1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
151496,FS-N26,FS-N26,FS-N26,入力する,FS-N26,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,580,,2019/4/13,2024/11/13,4203,その他仕入,1113,㈱CSJ,M02-C1の代替品,CSJ/フリーズドライ×6、海苔×2　FS-N26,3,原材料,1,卸課,,海苔・フリーズドライ,1 軽減税率,,,,,,,,,,
151497,KOJ-02,KOJ-02,KOJ-02,入力する,KOJ-02,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,750,,2023/11/9,2024/11/13,4203,その他仕入,1113,㈱CSJ,,CSJ/お茶漬×4、海苔×2、梅×1、フリーズドライ×2,3,原材料,1,卸課,,お茶漬け・海苔・梅・フリーズドライ,1 軽減税率,,,,,,,,,,
151498,トワオモイ35g,とわおもい_煎茶 35g,とわおもい_煎茶 35g,入力する,74,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,70.3,150,2024/11/6,2024/11/13,     ,,       ,,,35g、(袋:5382),1,製品,1,卸課,,原料 仏煎茶,1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
160055,シンチャカオリ,新茶(薫)100g,新茶(薫)/100g,入力する,青葉様用,,  1 お茶,  1 お茶,1 外税,管理する,管理する,管理する,,,,345.5,550,2017/5/24,2024/9/6,     ,,       ,,,100g、青葉様用,1,製品,1,卸課,,新茶(薫),1 軽減税率,,,1,リーフ,1,煎茶,2,M(無薬相当品),,
160300,S02-A,S02-A,S02-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,154.16,,2020/4/19,2025/3/17,     ,,       ,,,S02-A,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160305,S10-B,S10-B,S10-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,183.4,,2023/3/29,2025/3/17,     ,,       ,,,S10-B,7,セット商品,1,卸課,,新茶　会葬品,1 軽減税率,,,,,,,,,,
160306,S05-B1,S05-B1,S05-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,219.62,,2023/4/14,2025/3/17,     ,,       ,,,S05-B1,7,セット商品,1,卸課,,新茶　会葬品,1 軽減税率,,,,,,,,,,
160507,W08-D,W08-D,W08-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,449.52,,2020/4/19,2025/3/17,     ,,       ,,,W08-D,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160508,W09-D,W09-D,W09-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,593.16,,2020/4/19,2025/3/17,     ,,       ,,,W09-D,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160510,W11-C,W11-C,W11-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,387.06,,2021/4/23,2025/3/17,     ,,       ,,,W11-C(旧W06-C),7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160511,W12-C,W12-C,W12-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,437.35,,2023/5/5,2025/3/17,     ,,       ,,,W12-C,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160512,W14-B,W14-B,W14-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,265.27,,2024/4/23,2025/3/17,     ,,       ,,,W14-B,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160513,W15-B,W15-B,W15-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,304.05,,2024/4/23,2025/3/17,     ,,       ,,,W15-B,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160902,T03-D,T03-D,T03-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,674.46,,2020/4/19,2025/3/27,     ,,       ,,,T03-D,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160903,T04-D,T04-D,T04-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,1024.91,,2020/4/19,2025/3/17,     ,,       ,,,T04-D,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160904,T05-D,T05-D,T05-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,745.42,,2020/4/19,2025/3/17,     ,,       ,,,T05-D,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
160905,T08-C,T08-C,T08-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,354.97,900,2024/4/23,2025/3/17,     ,,       ,,平安祭典用,T08-C,7,セット商品,1,卸課,,新茶会葬品,1 軽減税率,,,,,,,,,,
170000,H01-A,H01-A,H01-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,101.39,,2019/9/27,2025/3/17,     ,,       ,,,H01-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170001,H02-A,H02-A,H02-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,119.55,,2019/9/27,2025/3/17,     ,,       ,,,H02-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170002,H03-A,H03-A,H03-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,131.87,,2019/9/27,2025/3/17,     ,,       ,,,H03-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170003,H04-A,H04-A,H04-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,132.45,,2019/9/27,2025/3/17,     ,,       ,,,H04-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170005,H06-A,H06-A,H06-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,127.87,,2019/9/27,2025/3/17,     ,,       ,,,H06-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170006,H07-A,H07-A,H07-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,167.05,,2019/9/27,2025/3/17,     ,,       ,,,H07-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170007,H08-A,H08-A,H08-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,146.1,,2019/9/27,2025/3/17,     ,,       ,,,H08-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170200,S02-A,S02-A,S02-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,148.45,,2019/9/27,2025/3/17,     ,,       ,,,S02-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170201,S01-A,S01-A,S01-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,135.52,,2019/9/27,2025/3/17,     ,,       ,,,S01-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170202,S03-A,S03-A,S03-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,168.4,,2019/9/27,2025/3/17,     ,,       ,,,S03-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170207,S05-B1,S05-B1,S05-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,201.62,500,2022/11/26,2024/11/13,     ,,       ,,,S05-B1,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170208,S09-A,S09-A,S09-A,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,110.7,300,2022/12/3,2024/8/13,     ,,       ,,,S09-A,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170209,S10-B,S10-B,S10-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,168.4,,2023/3/29,2025/3/17,     ,,       ,,,S10-B,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170210,S09-A2,S09-A2,S09-A2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,113.5,,2024/12/21,2025/3/17,     ,,       ,,,箱：13921  内袋：上煎茶40g,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170211,S02-A2,S02-A2,S02-A2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,130.6,,2025/1/25,2025/3/17,     ,,       ,,,箱:13750/清和 内袋:上煎茶50g,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170212,S10-B2,S10-B2,S10-B2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,151.25,,2025/1/25,2025/3/17,     ,,       ,,,箱:13353/清和 内袋：深蒸し茶50g,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170213,S05-B2,S05-B2,S05-B2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,198.92,,2025/1/25,2025/3/17,     ,,       ,,,箱:13410/清和 内袋：上深蒸し茶60g,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170402,W03-B,W03-B,W03-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,325.85,,2019/9/27,2025/3/17,     ,,       ,,,W03-B,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170404,W05-B,W05-B,W05-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,297.17,,2019/9/27,2025/3/17,     ,,       ,,,W05-B,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170407,W08-D,W08-D,W08-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,436.81,,2019/9/27,2025/3/17,     ,,       ,,,W08-D,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170408,W09-D,W09-D,W09-D,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,567.25,,2019/9/27,2025/3/17,     ,,       ,,,W09-D,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170410,W11-C,W11-C,W11-C,入力する,73,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,376.35,,2021/1/26,2024/11/13,     ,,       ,,W06-Cの箱を既製品へ変更,W11-C,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170411,W12-C,W12-C,W12-C,入力する,72,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,407.45,,2021/12/18,2024/11/13,     ,,       ,,,W12-C,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170413,W01-B1,W01-B1,W01-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,204.21,500,2023/2/18,2024/11/13,     ,,       ,,W01-Bのグラム数変更,W01-B1,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170414,W14-B,W14-B,W14-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,232.95,,2023/12/5,2024/11/13,     ,,       ,,,W14-B,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170415,W15-B,W15-B,W15-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,285.05,,2023/12/5,2024/11/13,     ,,       ,,,W15-B,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170416,W16-B,W16-B,W16-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,182.51,,2024/10/30,2025/3/17,     ,,       ,,W01-B1の後継品,煎茶40g(TF-10)、緑茶TB3g/8個(TF-9)、箱:追憶,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170417,W17-B,W17-B,W17-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,290.75,,2024/12/21,2025/3/17,     ,,       ,,,箱：白(匠)  内袋：上煎茶50g,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170418,W14-B1,W14-B1,W14-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,212.55,,2025/1/28,2025/3/17,     ,,       ,,,箱:志(紫) 構成:煎茶50g、ほうじ茶30g,7,セット商品,1,卸課,,カイソウヒン,1 軽減税率,,,,,,,,,,
170419,W11-C2,W11-C2,W11-C2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,334.89,,2025/2/14,2025/3/17,     ,,       ,,,箱:13999　内袋:深蒸し茶40g(袋TF-12),7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170610,M05-B1,M05-B1,M05-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,285.85,650,2021/7/18,2025/3/17,     ,,       ,,のりを変更,M05-B1,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170616,M12-C,M12-C,M12-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,342.55,840,2022/5/30,2025/3/17,     ,,       ,,,M12-C,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170618,M08-B3,M08-B3,M08-B3,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,330.67,,2023/3/29,2025/3/17,     ,,       ,,コーヒー(金)を変更,M08-B3,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170619,M09-C3,M09-C3,M09-C3,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,476.87,,2023/3/29,2025/3/17,     ,,       ,,コーヒー(金)を変更,M09-C3,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170620,M11-B1,M11-B1,M11-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,178.56,,2023/3/29,2025/3/17,     ,,       ,,コーヒー(金)を変更,M11-B1,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170622,M13-B1,M13-B1,M13-B1,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,205.64,,2024/1/22,2025/3/17,     ,,       ,,,M13-B1,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170623,M15-B,M15-B,M15-B,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,200.06,,2024/3/23,2025/3/17,     ,,       ,,,M15-B　ほうじ茶セット,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170624,M11-B2,M11-B2,M11-B2,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,178.56,,2024/4/19,2025/3/17,     ,,       ,,2024年4月帯変更,M11-B2,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170625,M16-C,M16-C,M16-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,303.52,,2024/4/30,2025/3/17,     ,,       ,,,M16-C　楓シール使用,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170626,M17-C,M17-C,M17-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,336.03,,2024/4/30,2025/3/17,     ,,       ,,KOKOROの資材在庫終了まで,M17-C,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
170627,M18-C,M18-C,M18-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,,,2024/5/8,2025/3/17,     ,,       ,,,M18-C,7,セット商品,1,卸課,,会葬品,1 軽減税率,,,,,,,,,,
